,var,;,id,",",(,),{,},=,inc,dec,if,elif,else,loop,break,return,or,and,==,!=,<,<=,>,>=,+,-,*,/,%,not,[,],lit-bool,lit-int,lit-char,lit-str,$
62,,r49,,,,,,,,,,,,,,,,r49,r49,s132,s133,,,,,,,,,,,,,,,,,,
63,,r51,,,,,,,,,,,,,,,,r51,r51,r51,r51,s135,s136,s137,s138,,,,,,,,,,,,,,
64,,r55,,,,,,,,,,,,,,,,r55,r55,r55,r55,r55,r55,r55,r55,s140,s141,,,,,,,,,,,,
65,,r61,,,,,,,,,,,,,,,,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,s143,s144,s145,,,,,,,,,
66,,r65,,,,,,,,,,,,,,,,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,,,,,,,,,
67,,,s72,,s76,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s77,,s78,s79,s80,s81,,
68,,r70,,,,,,,,,,,,,,,,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,,,,,,,,,
69,,,r71,,r71,,,,,,,,,,,,,,,,,,,,,r71,r71,,,,r71,r71,,r71,r71,r71,r71,,
70,,,r72,,r72,,,,,,,,,,,,,,,,,,,,,r72,r72,,,,r72,r72,,r72,r72,r72,r72,,
71,,,r73,,r73,,,,,,,,,,,,,,,,,,,,,r73,r73,,,,r73,r73,,r73,r73,r73,r73,,
72,,r74,,,s147,,,,,,,,,,,,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,,,,,,,,,
73,,r75,,,,,,,,,,,,,,,,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,,,,,,,,,
74,,r76,,,,,,,,,,,,,,,,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,,,,,,,,,
75,,r77,,,,,,,,,,,,,,,,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,,,,,,,,,
76,,,s117,,s121,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s122,,s123,s124,s125,s126,,
77,,,s160,,s164,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s165,r33,s166,s167,s168,s169,,
78,,r80,,,,,,,,,,,,,,,,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,,,,,,,,,
