,var,;,id,",",(,),{,},=,inc,dec,if,elif,else,loop,break,return,or,and,==,!=,<,<=,>,>=,+,-,*,/,%,not,[,],lit-bool,lit-int,lit-char,lit-str,$
231,,,,,,r54,,,,,,,,,,,,r54,r54,r54,r54,r54,r54,r54,r54,s140,s141,,,,,,,,,,,,
232,,,,,,r60,,,,,,,,,,,,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,s143,s144,s145,,,,,,,,,
233,,,,,,r64,,,,,,,,,,,,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,,,,,,,,,
234,,,,,,s251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,r78,,,,,,,,,,,,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,,,,,,,,,
236,,,,,,r79,,,,,,,,,,,,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,,,,,,,,,
237,,r31,,,,,,,,,,,,,,,,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,,,,,,,,,
238,,,,s206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r35,,,,,,
239,,,,r46,,,,,,,,,,,,,,r46,s208,,,,,,,,,,,,,,r46,,,,,,
240,,,,r48,,,,,,,,,,,,,,r48,r48,s132,s133,,,,,,,,,,,,r48,,,,,,
241,,,,r50,,,,,,,,,,,,,,r50,r50,r50,r50,s135,s136,s137,s138,,,,,,,,r50,,,,,,
242,,,,r54,,,,,,,,,,,,,,r54,r54,r54,r54,r54,r54,r54,r54,s140,s141,,,,,,r54,,,,,,
243,,,,r60,,,,,,,,,,,,,,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,s143,s144,s145,,,r60,,,,,,
244,,,,r64,,,,,,,,,,,,,,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,,,r64,,,,,,
245,,,,,,s253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,r78,,,,,,,,,,,,,,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,,,r78,,,,,,
247,,,,r79,,,,,,,,,,,,,,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,,,r79,,,,,,
248,,,,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,r31,,r31,,,,,,,,,,,,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,,,,,,,,,
250,,s49,s41,,,,,s254,,s42,s43,s45,,,s46,s47,s48,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,r31,,,,,,,,,,,,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r34,,,,,,
253,,,,r31,,,,,,,,,,,,,,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,,,r31,,,,,,
254,,r38,r38,,,,,r38,,r38,r38,r38,r38,r38,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,
255,,r40,r40,,,,,r40,,r40,r40,r40,s257,s258,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,
256,,r36,r36,,,,,r36,,r36,r36,r36,,,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,
257,,,,,s259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,s260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,s117,,s121,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s122,,s123,s124,s125,s126,,
260,,r17,r17,,,,,r17,,r17,r17,r17,,,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,s263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,s49,s41,,,,,s264,,s42,s43,s45,,,s46,s47,s48,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,s265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,r39,r39,,,,,r39,,r39,r39,r39,,,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,
265,,r17,r17,,,,,r17,,r17,r17,r17,,,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,
266,,s49,s41,,,,,s267,,s42,s43,s45,,,s46,s47,s48,,,,,,,,,,,,,,,,,,,,,,
267,,r37,r37,,,,,r37,,r37,r37,r37,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,
